F5_SAMPLE_DESCRIPTION	F5 Sample Type	F5 CAGE Lib ID	F5 Sample Description
RECTAL_CANCER_CELL_LINE:TT1TKB	cell_line	CNhs11255	rectal cancer cell line:TT1TKB
MELANOMA_CELL_LINE:G_361	cell_line	CNhs11254	melanoma cell line:G-361
ACUTE_LYMPHOBLASTIC_LEUKEMIA_T_ALL_CELL_LINE:JURKAT	cell_line	CNhs11253	acute lymphoblastic leukemia (T-ALL) cell line:Jurkat
SQUAMOUS_CELL_CARCINOMA_CELL_LINE:EC_GI_10	cell_line	CNhs11252	squamous cell carcinoma cell line:EC-GI-10
SQUAMOUS_CELL_LUNG_CARCINOMA_CELL_LINE:LC_1F	cell_line	CNhs14238	squamous cell lung carcinoma cell line:LC-1F
ACUTE_LYMPHOBLASTIC_LEUKEMIA_B_ALL_CELL_LINE:BALL_1	cell_line	CNhs11251	acute lymphoblastic leukemia (B-ALL) cell line:BALL-1
CHRONIC_MYELOGENOUS_LEUKEMIA_CELL_LINE:K562	cell_line	CNhs11250	chronic myelogenous leukemia cell line:K562
CORD_BLOOD_DERIVED_CELL_LINE:COBL_A_24H_INFECTION	cell_line	CNhs11050	cord blood derived cell line:COBL-a 24h infection
CORD_BLOOD_DERIVED_CELL_LINE:COBL_A_24H_INFECTION_C	cell_line	CNhs11049	cord blood derived cell line:COBL-a 24h infection(-C)
EMBRYONIC_KIDNEY_CELL_LINE:_HEK293_SLAM_INFECTION	cell_line	CNhs11047	embryonic kidney cell line: HEK293/SLAM infection, 24hr
EMBRYONIC_KIDNEY_CELL_LINE:_HEK293_SLAM_UNTREATED	cell_line	CNhs11046	embryonic kidney cell line: HEK293/SLAM untreated
CORD_BLOOD_DERIVED_CELL_LINE:COBL_A_UNTREATED	cell_line	CNhs11045	cord blood derived cell line:COBL-a untreated
ENDOMETRIAL_STROMAL_SARCOMA_CELL_LINE:OMC_9	cell_line	CNhs11249	endometrial stromal sarcoma cell line:OMC-9
GLIOBLASTOMA_CELL_LINE:A172	cell_line	CNhs11185#CNhs11248	glioblastoma cell line:A172, tech_rep1#glioblastoma cell line:A172, tech_rep2
EPITHELIOID_SARCOMA_CELL_LINE:HS_ES_1	cell_line	CNhs11247	epithelioid sarcoma cell line:HS-ES-1
SCHWANNOMA_CELL_LINE:HS_PSS	cell_line	CNhs11183#CNhs11245	schwannoma cell line:HS-PSS, tech_rep1#schwannoma cell line:HS-PSS, tech_rep2
SYNOVIAL_SARCOMA_CELL_LINE:HS_SY_II	cell_line	CNhs11244	synovial sarcoma cell line:HS-SY-II
PROSTATE_CANCER_CELL_LINE:PC_3	cell_line	CNhs11243	prostate cancer cell line:PC-3
DUCTAL_CELL_CARCINOMA_CELL_LINE:KLM_1	cell_line	CNhs11100	ductal cell carcinoma cell line:KLM-1
PAPILLARY_ADENOCARCINOMA_CELL_LINE:8505C	cell_line	CNhs11716	papillary adenocarcinoma cell line:8505C
SIGNET_RING_CARCINOMA_CELL_LINE:KATO_III	cell_line	CNhs10753	signet ring carcinoma cell line:Kato III
HODGKIN_S_LYMPHOMA_CELL_LINE:HD_MAR2	cell_line	CNhs11715	Hodgkin's lymphoma cell line:HD-Mar2
ORAL_SQUAMOUS_CELL_CARCINOMA_CELL_LINE:CA9_22	cell_line	CNhs10752	oral squamous cell carcinoma cell line:Ca9-22
GIANT_CELL_CARCINOMA_CELL_LINE:LU99B	cell_line	CNhs10751	giant cell carcinoma cell line:Lu99B
BILE_DUCT_CARCINOMA_CELL_LINE:HUCCT1	cell_line	CNhs10750	bile duct carcinoma cell line:HuCCT1
EPIDERMOID_CARCINOMA_CELL_LINE:CA_SKI	cell_line	CNhs10748	epidermoid carcinoma cell line:Ca Ski
NON_T_NON_B_ACUTE_LYMPHOBLASTIC_LEUKEMIA_ALL_CELL_LINE:P30_OHK	cell_line	CNhs10747	non T non B acute lymphoblastic leukemia (ALL) cell line:P30/OHK
ACUTE_LYMPHOBLASTIC_LEUKEMIA_T_ALL_CELL_LINE:HPB_ALL	cell_line	CNhs10746	acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL
ANAPLASTIC_CARCINOMA_CELL_LINE:8305C	cell_line	CNhs10745	anaplastic carcinoma cell line:8305C
B_CELL_LINE:RPMI1788	cell_line	CNhs10744	b cell line:RPMI1788
EPIDERMOID_CARCINOMA_CELL_LINE:A431	cell_line	CNhs10743	epidermoid carcinoma cell line:A431
ASTROCYTOMA_CELL_LINE:TM_31	cell_line	CNhs10742	astrocytoma cell line:TM-31
SPLENIC_LYMPHOMA_WITH_VILLOUS_LYMPHOCYTES_CELL_LINE:SLVL	cell_line	CNhs10741	splenic lymphoma with villous lymphocytes cell line:SLVL
CHORIOCARCINOMA_CELL_LINE:BEWO	cell_line	CNhs10740	choriocarcinoma cell line:BeWo
BURKITT_S_LYMPHOMA_CELL_LINE:DAUDI	cell_line	CNhs10739	Burkitt's lymphoma cell line:DAUDI
ADULT_T_CELL_LEUKEMIA_CELL_LINE:ATN_1	cell_line	CNhs10738	adult T-cell leukemia cell line:ATN-1
COLON_CARCINOMA_CELL_LINE:COLO_320	cell_line	CNhs10737	colon carcinoma cell line:COLO-320
BREAST_CARCINOMA_CELL_LINE:MDA_MB_453	cell_line	CNhs10736	breast carcinoma cell line:MDA-MB-453
TRANSITIONAL_CELL_CARCINOMA_CELL_LINE:5637	cell_line	CNhs10735	transitional-cell carcinoma cell line:5637
PAPILLOTUBULAR_ADENOCARCINOMA_CELL_LINE:TGBC18TKB	cell_line	CNhs10734	papillotubular adenocarcinoma cell line:TGBC18TKB
CHRONIC_LYMPHOCYTIC_LEUKEMIA_T_CLL_CELL_LINE:SKW_3	cell_line	CNhs11714	chronic lymphocytic leukemia (T-CLL) cell line:SKW-3
GALL_BLADDER_CARCINOMA_CELL_LINE:TGBC2TKB	cell_line	CNhs10733	gall bladder carcinoma cell line:TGBC2TKB
MAXILLARY_SINUS_TUMOR_CELL_LINE:HSQ_89	cell_line	CNhs10732	maxillary sinus tumor cell line:HSQ-89
GLIOMA_CELL_LINE:GI_1	cell_line	CNhs10731	glioma cell line:GI-1
MALIGNANT_TRICHILEMMAL_CYST_CELL_LINE:DJM_1	cell_line	CNhs10730	malignant trichilemmal cyst cell line:DJM-1
RENAL_CELL_CARCINOMA_CELL_LINE:OS_RC_2	cell_line	CNhs10729	renal cell carcinoma cell line:OS-RC-2
EXTRASKELETAL_MYXOID_CHONDROSARCOMA_CELL_LINE:H_EMC_SS	cell_line	CNhs10728	extraskeletal myxoid chondrosarcoma cell line:H-EMC-SS
CHRONIC_MYELOGENOUS_LEUKEMIA_CELL_LINE:KU812	cell_line	CNhs10727	chronic myelogenous leukemia cell line:KU812
LUNG_ADENOCARCINOMA_CELL_LINE:PC_14	cell_line	CNhs10726	lung adenocarcinoma cell line:PC-14
ACUTE_MYELOID_LEUKEMIA_FAB_M5_CELL_LINE:THP_1_THAWED	cell_line	CNhs10724	acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed)
ACUTE_MYELOID_LEUKEMIA_FAB_M5_CELL_LINE:THP_1_REVIVED	cell_line	CNhs10723	acute myeloid leukemia (FAB M5) cell line:THP-1 (revived)
ACUTE_MYELOID_LEUKEMIA_FAB_M5_CELL_LINE:THP_1_FRESH	cell_line	CNhs10722	acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh)
SMALL_AIRWAY_EPITHELIAL_CELLS_DONOR2_NUCLEAR_FRACTION	fractionation	CNhs14565	Small Airway Epithelial Cells donor2 (nuclear fraction)
SMALL_AIRWAY_EPITHELIAL_CELLS_DONOR2_CYTOPLASMIC_FRACTION	fractionation	CNhs14564	Small Airway Epithelial Cells donor2 (cytoplasmic fraction)
FIBROBLAST_AORTIC_ADVENTITIAL	fractionation	CNhs12581#CNhs12400#CNhs12011#CNhs10874#CNhs11968	Fibroblast - Aortic Adventitial, donor2 (nuclear fraction)#Fibroblast - Aortic Adventitial, donor3 (nuclear fraction)#Fibroblast - Aortic Adventitial, donor3#Fibroblast - Aortic Adventitial, donor1#Fibroblast - Aortic Adventitial, donor2
FIBROBLAST_AORTIC_ADVENTITIAL_DONOR2_CYTOPLASMIC_FRACTION	fractionation	CNhs14558	Fibroblast - Aortic Adventitial donor2 (cytoplasmic fraction)
FIBROBLAST_SKIN_DYSTROPHIA_MYOTONICA	fractionation	CNhs12405#CNhs12399#CNhs11913#CNhs11354#CNhs11353	Fibroblast - skin dystrophia myotonica, donor1 (nuclear fraction)#Fibroblast - skin dystrophia myotonica, donor3 (nuclear fraction)#Fibroblast - skin dystrophia myotonica, donor3#Fibroblast - skin dystrophia myotonica, donor2#Fibroblast - skin dystrophia myotonica, donor1
FIBROBLAST_SKIN_SPINAL_MUSCULAR_ATROPHY	fractionation	CNhs12404#CNhs12398#CNhs11912#CNhs11911#CNhs11074	Fibroblast - skin spinal muscular atrophy, donor1 (nuclear fraction)#Fibroblast - skin spinal muscular atrophy, donor3 (nuclear fraction)#Fibroblast - skin spinal muscular atrophy, donor3#Fibroblast - skin spinal muscular atrophy, donor2#Fibroblast - skin spinal muscular atrophy, donor1
FIBROBLAST_SKIN_NORMAL	fractionation	CNhs12403#CNhs12582#CNhs11914#CNhs11351	Fibroblast - skin normal, donor1 (nuclear fraction)#Fibroblast - skin normal, donor2 (nuclear fraction)#Fibroblast - skin normal, donor2#Fibroblast - skin normal, donor1
FIBROBLAST_SKIN	fractionation	CNhs14560#CNhs14561	Fibroblast - skin, normal donor1 (cytoplasmic fraction)#Fibroblast - skin, normal donor2 (cytoplasmic fraction)
PREADIPOCYTE_BREAST	fractionation	CNhs12584#CNhs11052#CNhs11971	Preadipocyte - breast, donor2 (nuclear fraction)#Preadipocyte - breast, donor1#Preadipocyte - breast, donor2
PREADIPOCYTE_BREAST_DONOR2_CYTOPLASMIC_FRACTION	fractionation	CNhs14562	Preadipocyte - breast donor2 (cytoplasmic fraction)
SMALL_AIRWAY_EPITHELIAL_CELLS	fractionation	CNhs12583#CNhs12016#CNhs11975#CNhs10884	Small Airway Epithelial Cells, donor3 (nuclear fraction)#Small Airway Epithelial Cells, donor3#Small Airway Epithelial Cells, donor2#Small Airway Epithelial Cells, donor1
SMALL_AIRWAY_EPITHELIAL_CELLS_DONOR3_CYTOPLASMIC_FRACTION	fractionation	CNhs14563	Small Airway Epithelial Cells donor3 (cytoplasmic fraction)
SMOOTH_MUSCLE_CELLS_AORTIC	fractionation	CNhs12402#CNhs12401#CNhs11309#CNhs11305#CNhs11085#CNhs10838	Smooth Muscle Cells - Aortic, donor0 (nuclear fraction)#Smooth Muscle Cells - Aortic, donor0 (cytoplasmic fraction)#Smooth Muscle Cells - Aortic, donor3#Smooth Muscle Cells - Aortic, donor2#Smooth Muscle Cells - Aortic, donor1#Smooth Muscle Cells - Aortic, donor0
FIBROBLAST_AORTIC_ADVENTITIAL_DONOR3_CYTOPLASMIC_FRACTION	fractionation	CNhs14559	Fibroblast - Aortic Adventitial donor3 (cytoplasmic fraction)
ACUTE_MYELOID_LEUKEMIA_FAB_M5_CELL_LINE:THP_1_CYTOPLASMIC_FRACTION	fractionation	CNhs14556	acute myeloid leukemia (FAB M5) cell line:THP-1 (cytoplasmic fraction)
WHOLE_BLOOD_RIBOPURE	primary_cell	CNhs11949#CNhs11673#CNhs11672#CNhs11948#CNhs11671#CNhs11076#CNhs11075#CNhs11675	Whole blood (ribopure), donor090612, donation3#Whole blood (ribopure), donor090612, donation2#Whole blood (ribopure), donor090612, donation1#Whole blood (ribopure), donor090309, donation3#Whole blood (ribopure), donor090309, donation2#Whole blood (ribopure), donor090325, donation2#Whole blood (ribopure), donor090325, donation1#Whole blood (ribopure), donor090309, donation1
SMOOTH_MUSCLE_CELLS_PROSTATE	primary_cell	CNhs11976#CNhs11920#CNhs11910	Smooth Muscle Cells - Prostate, donor2#Smooth Muscle Cells - Prostate, donor1#Smooth Muscle Cells - Prostate, donor3
HEPATIC_SINUSOIDAL_ENDOTHELIAL_CELLS	primary_cell	CNhs12092#CNhs12075#CNhs12625	Hepatic Sinusoidal Endothelial Cells, donor2#Hepatic Sinusoidal Endothelial Cells, donor1#Hepatic Sinusoidal Endothelial Cells, donor3
GINGIVAL_EPITHELIAL_CELLS	primary_cell	CNhs11903#CNhs11896#CNhs11061	Gingival epithelial cells, donor3 (GEA15)#Gingival epithelial cells, donor2 (GEA14)#Gingival epithelial cells, donor1 (GEA11)
FIBROBLAST_SKIN_WALKER_WARBURG	primary_cell	CNhs11352	Fibroblast - skin walker warburg, donor1
FIBROBLAST_DERMAL	primary_cell	CNhs12059#CNhs12055#CNhs12052#CNhs12028#CNhs11379#CNhs12499	Fibroblast - Dermal, donor6#Fibroblast - Dermal, donor5#Fibroblast - Dermal, donor4#Fibroblast - Dermal, donor3#Fibroblast - Dermal, donor2#Fibroblast - Dermal, donor1
SMOOTH_MUSCLE_CELLS_UTERINE	primary_cell	CNhs11927#CNhs11921	Smooth Muscle Cells - Uterine, donor3#Smooth Muscle Cells - Uterine, donor1
SMOOTH_MUSCLE_CELLS_TRACHEAL	primary_cell	CNhs12894#CNhs11329#CNhs12567	Smooth Muscle Cells - Tracheal, donor3#Smooth Muscle Cells - Tracheal, donor1#Smooth Muscle Cells - Tracheal, donor2
SMOOTH_MUSCLE_CELLS_ESOPHAGEAL	primary_cell	CNhs11324#CNhs12727	Smooth Muscle Cells - Esophageal, donor1#Smooth Muscle Cells - Esophageal, donor2
SMOOTH_MUSCLE_CELLS_BRONCHIAL	primary_cell	CNhs11328#CNhs12348	Smooth Muscle Cells - Bronchial, donor1#Smooth Muscle Cells - Bronchial, donor2
RETINAL_PIGMENT_EPITHELIAL_CELLS	primary_cell	CNhs12733#CNhs11338#CNhs10842#CNhs12096	Retinal Pigment Epithelial Cells, donor3#Retinal Pigment Epithelial Cells, donor1#Retinal Pigment Epithelial Cells, donor0#Retinal Pigment Epithelial Cells, donor2
PLACENTAL_EPITHELIAL_CELLS	primary_cell	CNhs12037#CNhs11386#CNhs11079	Placental Epithelial Cells, donor3#Placental Epithelial Cells, donor2#Placental Epithelial Cells, donor1
IRIS_PIGMENT_EPITHELIAL_CELLS	primary_cell	CNhs12596	Iris Pigment Epithelial Cells, donor1
INTESTINAL_EPITHELIAL_CELLS_POLARIZED	primary_cell	CNhs10875	Intestinal epithelial cells (polarized), donor1
HAIR_FOLLICLE_OUTER_ROOT_SHEATH_CELLS	primary_cell	CNhs12339#CNhs12347	Hair Follicle Outer Root Sheath Cells, donor1#Hair Follicle Outer Root Sheath Cells, donor2
HAIR_FOLLICLE_DERMAL_PAPILLA_CELLS	primary_cell	CNhs12030#CNhs11979#CNhs12501	Hair Follicle Dermal Papilla Cells, donor3#Hair Follicle Dermal Papilla Cells, donor2#Hair Follicle Dermal Papilla Cells, donor1
FIBROBLAST_PULMONARY_ARTERY	primary_cell	CNhs10878	Fibroblast - Pulmonary Artery, donor1
FIBROBLAST_PERIODONTAL_LIGAMENT	primary_cell	CNhs11907#CNhs11996#CNhs11962#CNhs11953#CNhs10867#CNhs12493	Fibroblast - Periodontal Ligament, donor3#Fibroblast - Periodontal Ligament, donor6 (PLH3)#Fibroblast - Periodontal Ligament, donor2#Fibroblast - Periodontal Ligament, donor5 (PL30)#Fibroblast - Periodontal Ligament, donor1#Fibroblast - Periodontal Ligament, donor4 (PL29)
FIBROBLAST_LYMPHATIC	primary_cell	CNhs12118#CNhs11322#CNhs12082	Fibroblast - Lymphatic, donor3#Fibroblast - Lymphatic, donor1#Fibroblast - Lymphatic, donor2
FIBROBLAST_GINGIVAL	primary_cell	CNhs12006#CNhs11961#CNhs11952#CNhs10866#CNhs10848#CNhs14135#CNhs14132#CNhs14130#CNhs14128	Fibroblast - Gingival, donor3#Fibroblast - Gingival, donor2#Fibroblast - Gingival, donor5 (GFH3)#Fibroblast - Gingival, donor1#Fibroblast - Gingival, donor4 (GFH2)#Fibroblast - Gingival, donor10 (periodontitis)#Fibroblast - Gingival, donor8 (chronic periodontitis)#Fibroblast - Gingival, donor7 (aggressive periodontitis)#Fibroblast - Gingival, donor6 (aggressive periodontitis)
FIBROBLAST_CONJUNCTIVAL	primary_cell	CNhs11339#CNhs12734	Fibroblast - Conjunctival, donor1#Fibroblast - Conjunctival, donor3
FIBROBLAST_CHOROID_PLEXUS	primary_cell	CNhs12344#CNhs11319#CNhs12620	Fibroblast - Choroid Plexus, donor2#Fibroblast - Choroid Plexus, donor1#Fibroblast - Choroid Plexus, donor3
FIBROBLAST_CARDIAC	primary_cell	CNhs12061#CNhs12057#CNhs11909#CNhs12027#CNhs11378#CNhs12498	Fibroblast - Cardiac, donor6#Fibroblast - Cardiac, donor5#Fibroblast - Cardiac, donor4#Fibroblast - Cardiac, donor3#Fibroblast - Cardiac, donor2#Fibroblast - Cardiac, donor1
AMNIOTIC_EPITHELIAL_CELLS	primary_cell	CNhs12125#CNhs11341#CNhs12098	Amniotic Epithelial Cells, donor3#Amniotic Epithelial Cells, donor1#Amniotic Epithelial Cells, donor2
RENAL_GLOMERULAR_ENDOTHELIAL_CELLS	primary_cell	CNhs13080#CNhs12624#CNhs12086#CNhs12074	Renal Glomerular Endothelial Cells, donor4#Renal Glomerular Endothelial Cells, donor3#Renal Glomerular Endothelial Cells, donor2#Renal Glomerular Endothelial Cells, donor1
RENAL_MESANGIAL_CELLS	primary_cell	CNhs12121#CNhs11333#CNhs12089	Renal Mesangial Cells, donor3#Renal Mesangial Cells, donor1#Renal Mesangial Cells, donor2
RENAL_EPITHELIAL_CELLS	primary_cell	CNhs12732#CNhs12088#CNhs11332	Renal Epithelial Cells, donor3#Renal Epithelial Cells, donor2#Renal Epithelial Cells, donor1
RENAL_PROXIMAL_TUBULAR_EPITHELIAL_CELL	primary_cell	CNhs12120#CNhs12087#CNhs11330	Renal Proximal Tubular Epithelial Cell, donor3#Renal Proximal Tubular Epithelial Cell, donor2#Renal Proximal Tubular Epithelial Cell, donor1
RENAL_CORTICAL_EPITHELIAL_CELLS	primary_cell	CNhs12728#CNhs11331	Renal Cortical Epithelial Cells, donor2#Renal Cortical Epithelial Cells, donor1
ALVEOLAR_EPITHELIAL_CELLS	primary_cell	CNhs12084#CNhs11325#CNhs12119	Alveolar Epithelial Cells, donor2#Alveolar Epithelial Cells, donor1#Alveolar Epithelial Cells, donor3
SMOOTH_MUSCLE_CELLS_COLONIC	primary_cell	CNhs12007#CNhs11963#CNhs10868	Smooth Muscle Cells - Colonic, donor3#Smooth Muscle Cells - Colonic, donor2#Smooth Muscle Cells - Colonic, donor1
BRONCHIAL_EPITHELIAL_CELL	primary_cell	CNhs12062#CNhs12058#CNhs12054#CNhs12642#CNhs12623#CNhs12085#CNhs11327	Bronchial Epithelial Cell, donor6#Bronchial Epithelial Cell, donor5#Bronchial Epithelial Cell, donor4#Bronchial Epithelial Cell, donor7#Bronchial Epithelial Cell, donor3#Bronchial Epithelial Cell, donor2#Bronchial Epithelial Cell, donor1
TRACHEAL_EPITHELIAL_CELLS	primary_cell	CNhs12051#CNhs11993#CNhs11092	Tracheal Epithelial Cells, donor3#Tracheal Epithelial Cells, donor2#Tracheal Epithelial Cells, donor1
TRABECULAR_MESHWORK_CELLS	primary_cell	CNhs12124#CNhs11340#CNhs12097	Trabecular Meshwork Cells, donor3#Trabecular Meshwork Cells, donor1#Trabecular Meshwork Cells, donor2
KERATOCYTES	primary_cell	CNhs12095#CNhs11337#CNhs12921	Keratocytes, donor2#Keratocytes, donor1#Keratocytes, donor3
PREADIPOCYTE_PERIRENAL	primary_cell	CNhs12065	Preadipocyte - perirenal, donor1
PREADIPOCYTE_OMENTAL	primary_cell	CNhs11065#CNhs12013#CNhs11902	Preadipocyte - omental, donor1#Preadipocyte - omental, donor3#Preadipocyte - omental, donor2
PREADIPOCYTE_VISCERAL	primary_cell	CNhs12039#CNhs11982#CNhs11082	Preadipocyte - visceral, donor3#Preadipocyte - visceral, donor2#Preadipocyte - visceral, donor1
PREADIPOCYTE_SUBCUTANEOUS	primary_cell	CNhs12038#CNhs11981#CNhs11081	Preadipocyte - subcutaneous, donor3#Preadipocyte - subcutaneous, donor2#Preadipocyte - subcutaneous, donor1
MAMMARY_EPITHELIAL_CELL	primary_cell	CNhs12032#CNhs11382#CNhs11077	Mammary Epithelial Cell, donor3#Mammary Epithelial Cell, donor2#Mammary Epithelial Cell, donor1
ESOPHAGEAL_EPITHELIAL_CELLS	primary_cell	CNhs11323#CNhs12622#CNhs12083	Esophageal Epithelial Cells, donor1#Esophageal Epithelial Cells, donor3#Esophageal Epithelial Cells, donor2
PROSTATE_EPITHELIAL_CELLS	primary_cell	CNhs12014#CNhs11972	Prostate Epithelial Cells, donor3#Prostate Epithelial Cells, donor2
PROSTATE_EPITHELIAL_CELLS_POLARIZED	primary_cell	CNhs10882	Prostate Epithelial Cells (polarized), donor1
LENS_EPITHELIAL_CELLS	primary_cell	CNhs12572#CNhs12568#CNhs12342	Lens Epithelial Cells, donor3#Lens Epithelial Cells, donor2#Lens Epithelial Cells, donor1
MALLASSEZ_DERIVED_CELLS	primary_cell	CNhs13551#CNhs13550#CNhs12538	Mallassez-derived cells, donor3#Mallassez-derived cells, donor2#Mallassez-derived cells, donor1 (MZH3)
ENDOTHELIAL_CELLS_LYMPHATIC	primary_cell	CNhs11906#CNhs11901#CNhs10865	Endothelial Cells - Lymphatic, donor3#Endothelial Cells - Lymphatic, donor2#Endothelial Cells - Lymphatic, donor1
CD19+_B_CELLS	primary_cell	CNhs12354#CNhs12352#CNhs12343	CD19+ B Cells, donor3#CD19+ B Cells, donor2#CD19+ B Cells, donor1
NEUTROPHILS	primary_cell	CNhs11905#CNhs11959#CNhs10862	Neutrophils, donor3#Neutrophils, donor2#Neutrophils, donor1
BASOPHILS	primary_cell	CNhs12575#CNhs12563#CNhs12546	Basophils, donor3#Basophils, donor2#Basophils, donor1
CARDIAC_MYOCYTE	primary_cell	CNhs12571#CNhs12350#CNhs12341	Cardiac Myocyte, donor3#Cardiac Myocyte, donor2#Cardiac Myocyte, donor1
UROTHELIAL_CELLS	primary_cell	CNhs12122#CNhs12091#CNhs11334#CNhs10843	Urothelial Cells, donor3#Urothelial Cells, donor2#Urothelial Cells, donor1#Urothelial cells, donor0
PERICYTES	primary_cell	CNhs12079#CNhs11317#CNhs12116	Pericytes, donor2#Pericytes, donor1#Pericytes, donor3
HEPATIC_STELLATE_CELLS_LIPOCYTE	primary_cell	CNhs12093#CNhs11335#CNhs12627	Hepatic Stellate Cells (lipocyte), donor2#Hepatic Stellate Cells (lipocyte), donor1#Hepatic Stellate Cells (lipocyte), donor3
NATURAL_KILLER_CELLS	primary_cell	CNhs12001#CNhs11957#CNhs10859	Natural Killer Cells, donor3#Natural Killer Cells, donor2#Natural Killer Cells, donor1
SALIVARY_ACINAR_CELLS	primary_cell	CNhs12812#CNhs12811#CNhs12810	salivary acinar cells, donor3#salivary acinar cells, donor2#salivary acinar cells, donor1
SEBOCYTE	primary_cell	CNhs11951#CNhs10847#CNhs11995	Sebocyte, donor2#Sebocyte, donor1#Sebocyte, donor3
CD14+CD16+_MONOCYTES	primary_cell	CNhs13549#CNhs13208#CNhs13541	CD14+CD16+ Monocytes, donor3#CD14+CD16+ Monocytes, donor2#CD14+CD16+ Monocytes, donor1
CD14_CD16+_MONOCYTES	primary_cell	CNhs13548#CNhs13207#CNhs13229	CD14-CD16+ Monocytes, donor3#CD14-CD16+ Monocytes, donor2#CD14-CD16+ Monocytes, donor1
CD14+CD16_MONOCYTES	primary_cell	CNhs13540#CNhs13216#CNhs13224	CD14+CD16- Monocytes, donor3#CD14+CD16- Monocytes, donor2#CD14+CD16- Monocytes, donor1
CD14+_MONOCYTES_MOCK_TREATED	primary_cell	CNhs13491#CNhs13484#CNhs13468	CD14+ monocytes - mock treated, donor3#CD14+ monocytes - mock treated, donor2#CD14+ monocytes - mock treated, donor1
CD14+_MONOCYTE_DERIVED_ENDOTHELIAL_PROGENITOR_CELLS	primary_cell	CNhs11904#CNhs11897#CNhs10858	CD14+ monocyte derived endothelial progenitor cells, donor3#CD14+ monocyte derived endothelial progenitor cells, donor2#CD14+ monocyte derived endothelial progenitor cells, donor1
CD14+_MONOCYTES	primary_cell	CNhs11997#CNhs11954#CNhs10852	CD14+ Monocytes, donor3#CD14+ Monocytes, donor2#CD14+ Monocytes, donor1
CORNEAL_EPITHELIAL_CELLS	primary_cell	CNhs12123#CNhs11336#CNhs12094	Corneal Epithelial Cells, donor3#Corneal Epithelial Cells, donor1#Corneal Epithelial Cells, donor2
CD34_CELLS_DIFFERENTIATED_TO_ERYTHROCYTE_LINEAGE	primary_cell	CNhs13553#CNhs13552	CD34 cells differentiated to erythrocyte lineage, biol_ rep2#CD34 cells differentiated to erythrocyte lineage, biol_ rep1
NEURONS	primary_cell	CNhs13815#CNhs12726#CNhs12338	Neurons, donor3#Neurons, donor2#Neurons, donor1
MENINGEAL_CELLS	primary_cell	CNhs12731#CNhs12080#CNhs11320	Meningeal Cells, donor3#Meningeal Cells, donor2#Meningeal Cells, donor1
SYNOVIOCYTE	primary_cell	CNhs12050#CNhs11992#CNhs11068	Synoviocyte, donor3#Synoviocyte, donor2#Synoviocyte, donor1
PROSTATE_STROMAL_CELLS	primary_cell	CNhs12015#CNhs11973#CNhs10883	Prostate Stromal Cells, donor3#Prostate Stromal Cells, donor2#Prostate Stromal Cells, donor1
PANCREATIC_STROMAL_CELLS	primary_cell	CNhs10877	Pancreatic stromal cells, donor1
IMMATURE_LANGERHANS_CELLS	primary_cell	CNhs13480#CNhs13537	immature langerhans cells, donor2#immature langerhans cells, donor1
MIGRATORY_LANGERHANS_CELLS	primary_cell	CNhs13547#CNhs13536#CNhs13535	migratory langerhans cells, donor3#migratory langerhans cells, donor2#migratory langerhans cells, donor1
DENDRITIC_CELLS_MONOCYTE_IMMATURE_DERIVED	primary_cell	CNhs12000#CNhs10855#CNhs11062#CNhs12195	Dendritic Cells - monocyte immature derived, donor3#Dendritic Cells - monocyte immature derived, donor1, tech_rep1#Dendritic Cells - monocyte immature derived, donor1, tech_rep2#Dendritic Cells - monocyte immature derived, donor2
DENDRITIC_CELLS_PLASMACYTOID	primary_cell	CNhs10857#CNhs12200#CNhs12196	Dendritic Cells - plasmacytoid, donor1#Dendritic Cells - plasmacytoid, donor3#Dendritic Cells - plasmacytoid, donor2
TENOCYTE	primary_cell	CNhs12641#CNhs12640#CNhs12639	tenocyte, donor3#tenocyte, donor2#tenocyte, donor1
SMOOTH_MUSCLE_CELLS_UMBILICAL_VEIN	primary_cell	CNhs12569#CNhs12597#CNhs13076	Smooth Muscle Cells - Umbilical Vein, donor2#Smooth Muscle Cells - Umbilical Vein, donor1#Smooth Muscle Cells - Umbilical Vein, donor3
SMOOTH_MUSCLE_CELLS_UMBILICAL_ARTERY	primary_cell	CNhs12049#CNhs11991#CNhs11091#CNhs10839	Smooth Muscle Cells - Umbilical Artery, donor3#Smooth Muscle Cells - Umbilical Artery, donor2#Smooth Muscle Cells - Umbilical Artery, donor1#Smooth Muscle Cells - Umbilical artery, donor0
SMOOTH_MUSCLE_CELLS_SUBCLAVIAN_ARTERY	primary_cell	CNhs12048#CNhs11990#CNhs11090	Smooth Muscle Cells - Subclavian Artery, donor3#Smooth Muscle Cells - Subclavian Artery, donor2#Smooth Muscle Cells - Subclavian Artery, donor1
SMOOTH_MUSCLE_CELLS_INTERNAL_THORACIC_ARTERY	primary_cell	CNhs12046#CNhs11988#CNhs11067	Smooth Muscle Cells - Internal Thoracic Artery, donor3#Smooth Muscle Cells - Internal Thoracic Artery, donor2#Smooth Muscle Cells - Internal Thoracic Artery, donor1
